name,album,track_number,acousticness,danceability,energy,valence,popularity,category
Taxman - 2022 Mix,Revolver (Super Deluxe),1,0.00225,0.484,0.771,0.679,57,0
Eleanor Rigby - 2022 Mix,Revolver (Super Deluxe),2,0.853,0.606,0.304,0.808,62,0
I'm Only Sleeping - 2022 Mix,Revolver (Super Deluxe),3,0.0944,0.559,0.479,0.658,57,0
Love You To - 2022 Mix,Revolver (Super Deluxe),4,0.706,0.46,0.6,0.679,54,0
"Here, There And Everywhere - 2022 Mix",Revolver (Super Deluxe),5,0.87,0.345,0.304,0.425,55,0
Yellow Submarine - 2022 Mix,Revolver (Super Deluxe),6,0.391,0.623,0.573,0.794,54,0
She Said She Said - 2022 Mix,Revolver (Super Deluxe),7,0.0515,0.397,0.886,0.785,55,0
Good Day Sunshine - 2022 Mix,Revolver (Super Deluxe),8,0.605,0.787,0.552,0.746,54,0
And Your Bird Can Sing - 2022 Mix,Revolver (Super Deluxe),9,0.00389,0.543,0.801,0.969,54,0
For No One - 2022 Mix,Revolver (Super Deluxe),10,0.808,0.433,0.535,0.751,54,0
Doctor Robert - 2022 Mix,Revolver (Super Deluxe),11,0.0531,0.41,0.718,0.562,53,0
I Want To Tell You - 2022 Mix,Revolver (Super Deluxe),12,0.0972,0.512,0.59,0.437,53,0
Got To Get You Into My Life - 2022 Mix,Revolver (Super Deluxe),13,0.221,0.526,0.629,0.645,53,0
Tomorrow Never Knows - 2022 Mix,Revolver (Super Deluxe),14,3.65e-05,0.215,0.657,0.0381,54,0
Tomorrow Never Knows - Take 1,Revolver (Super Deluxe),1,0.0357,0.426,0.815,0.199,51,0
Tomorrow Never Knows - Mono Mix RM 11,Revolver (Super Deluxe),2,0.00349,0.306,0.71,0.205,48,0
Got To Get You Into My Life - First Version / Take 5,Revolver (Super Deluxe),3,0.349,0.502,0.499,0.295,49,0
Got To Get You Into My Life - Second Version / Unnumbered Mix,Revolver (Super Deluxe),4,0.142,0.527,0.702,0.517,51,0
Got To Get You Into My Life - Second Version / Take 8,Revolver (Super Deluxe),5,0.00551,0.538,0.503,0.564,47,0
Love You To - Take 1,Revolver (Super Deluxe),6,0.757,0.735,0.29,0.41,47,0
Love You To - Unnumbered Rehearsal,Revolver (Super Deluxe),7,0.378,0.436,0.427,0.785,46,0
Love You To - Take 7,Revolver (Super Deluxe),8,0.719,0.376,0.584,0.849,45,0
Paperback Writer - Takes 1 & 2 / Backing Track,Revolver (Super Deluxe),9,0.301,0.582,0.75,0.618,48,0
Rain - Take 5 / Actual Speed,Revolver (Super Deluxe),10,0.000176,0.253,0.712,0.704,49,0
Rain - Take 5 / Slowed Down For Master Tape,Revolver (Super Deluxe),11,0.00041,0.266,0.523,0.599,47,0
Doctor Robert - Take 7,Revolver (Super Deluxe),12,0.139,0.497,0.567,0.695,46,0
And Your Bird Can Sing - First Version / Take 2,Revolver (Super Deluxe),13,0.000342,0.391,0.718,0.862,47,0
And Your Bird Can Sing - First Version / Take 2 / Giggling,Revolver (Super Deluxe),14,0.00322,0.378,0.607,0.737,46,0
And Your Bird Can Sing - Second Version / Take 5,Revolver (Super Deluxe),1,0.00151,0.446,0.555,0.547,46,0
Taxman - Take 11,Revolver (Super Deluxe),2,0.0104,0.504,0.663,0.786,45,0
I’m Only Sleeping - Rehearsal Fragment,Revolver (Super Deluxe),3,0.871,0.721,0.132,0.265,46,0
I’m Only Sleeping - Take 2,Revolver (Super Deluxe),4,0.511,0.581,0.346,0.401,46,0
I’m Only Sleeping - Take 5,Revolver (Super Deluxe),5,0.0257,0.635,0.666,0.599,45,0
I’m Only Sleeping - Mono Mix RM1,Revolver (Super Deluxe),6,0.175,0.525,0.466,0.608,44,0
Eleanor Rigby - Speech Before Take 2,Revolver (Super Deluxe),7,0.797,0.608,0.177,0.372,45,0
Eleanor Rigby - Take 2,Revolver (Super Deluxe),8,0.944,0.533,0.0987,0.421,46,0
For No One - Take 10 / Backing Track,Revolver (Super Deluxe),9,0.617,0.429,0.745,0.708,45,0
Yellow Submarine - Songwriting Work Tape / Part 1,Revolver (Super Deluxe),10,0.994,0.539,0.196,0.799,47,0
Yellow Submarine - Songwriting Work Tape / Part 2,Revolver (Super Deluxe),11,0.994,0.434,0.245,0.202,46,0
Yellow Submarine - Take 4 Before Sound Effects,Revolver (Super Deluxe),12,0.638,0.722,0.4,0.732,44,0
Yellow Submarine - Highlighted Sound Effects,Revolver (Super Deluxe),13,0.653,0.554,0.642,0.651,43,0
I Want To Tell You - Speech & Take 4,Revolver (Super Deluxe),14,0.793,0.71,0.492,0.208,43,0
"Here, There And Everywhere - Take 6",Revolver (Super Deluxe),15,0.852,0.685,0.23,0.406,46,0
She Said She Said - John's Demo,Revolver (Super Deluxe),16,0.937,0.758,0.325,0.635,45,0
She Said She Said - Take 15 / Backing Track Rehearsal,Revolver (Super Deluxe),17,0.00522,0.442,0.604,0.593,44,0
Taxman - Mono,Revolver (Super Deluxe),1,0.0722,0.467,0.604,0.773,42,0
Eleanor Rigby - Mono,Revolver (Super Deluxe),2,0.954,0.572,0.256,0.895,41,0
I'm Only Sleeping - Mono,Revolver (Super Deluxe),3,0.542,0.488,0.436,0.659,41,0
Love You To - Mono,Revolver (Super Deluxe),4,0.637,0.369,0.494,0.715,40,0
"Here, There And Everywhere - Mono",Revolver (Super Deluxe),5,0.866,0.545,0.238,0.388,40,0
Get Back - Rooftop Performance / Take 1,Get Back (Rooftop Performance),1,0.325,0.628,0.524,0.272,43,0
Get Back - Rooftop Performance / Take 2,Get Back (Rooftop Performance),2,0.101,0.655,0.695,0.33,49,0
Don't Let Me Down - Rooftop Performance / Take 1,Get Back (Rooftop Performance),3,0.321,0.592,0.513,0.744,45,0
I've Got A Feeling - Rooftop Performance / Take 1,Get Back (Rooftop Performance),4,0.155,0.392,0.629,0.352,43,0
One After 909 - Rooftop Performance,Get Back (Rooftop Performance),5,0.0254,0.521,0.87,0.723,40,0
Dig A Pony - Rooftop Performance,Get Back (Rooftop Performance),6,0.454,0.49,0.373,0.346,40,0
God Save The Queen - Rooftop Performance / Jam,Get Back (Rooftop Performance),7,0.675,0.676,0.389,0.898,4,0
I've Got A Feeling - Rooftop Performance / Take 2,Get Back (Rooftop Performance),8,0.346,0.521,0.532,0.313,38,0
Don't Let Me Down - Rooftop Performance / Take 2,Get Back (Rooftop Performance),9,0.272,0.548,0.489,0.605,39,0
Get Back - Rooftop Performance / Take 3,Get Back (Rooftop Performance),10,0.0833,0.617,0.633,0.315,38,0
Two Of Us - 2021 Mix,Let It Be (Super Deluxe),1,0.0356,0.692,0.756,0.826,44,0
Dig A Pony - 2021 Mix,Let It Be (Super Deluxe),2,0.183,0.461,0.5,0.393,43,0
Across The Universe - 2021 Mix,Let It Be (Super Deluxe),3,0.552,0.414,0.467,0.752,45,0
I Me Mine - 2021 Mix,Let It Be (Super Deluxe),4,0.14,0.423,0.587,0.575,43,0
Dig It - 2021 Mix,Let It Be (Super Deluxe),5,0.452,0.519,0.564,0.795,38,0
Let It Be - 2021 Mix,Let It Be (Super Deluxe),6,0.332,0.407,0.413,0.556,46,0
Maggie Mae - 2021 Mix,Let It Be (Super Deluxe),7,0.247,0.525,0.627,0.76,38,0
I've Got A Feeling - 2021 Mix,Let It Be (Super Deluxe),8,0.11,0.413,0.722,0.382,45,0
One After 909 - 2021 Mix,Let It Be (Super Deluxe),9,0.0632,0.545,0.956,0.776,40,0
The Long And Winding Road - 2021 Mix,Let It Be (Super Deluxe),10,0.82,0.314,0.379,0.319,43,0
For You Blue - 2021 Mix,Let It Be (Super Deluxe),11,0.349,0.854,0.605,0.929,39,0
Get Back - 2021 Mix,Let It Be (Super Deluxe),12,0.176,0.734,0.656,0.366,43,0
Morning Camera / Two Of Us - Take 4,Let It Be (Super Deluxe),1,0.053,0.718,0.671,0.762,36,0
Maggie Mae / Fancy My Chances With You - Mono,Let It Be (Super Deluxe),2,0.717,0.622,0.544,0.803,36,0
Can You Dig It?,Let It Be (Super Deluxe),3,0.215,0.635,0.864,0.717,35,0
I Don't Know Why I'm Moaning - Speech / Mono,Let It Be (Super Deluxe),4,0.916,0.582,0.457,0.488,34,0
For You Blue - Take 4,Let It Be (Super Deluxe),5,0.24,0.709,0.809,0.784,34,0
Let It Be / Please Please Me / Let It Be - Take 10,Let It Be (Super Deluxe),6,0.905,0.494,0.424,0.481,37,0
I’ve Got A Feeling - Take 10,Let It Be (Super Deluxe),7,0.143,0.399,0.622,0.306,34,0
Dig A Pony - Take 14,Let It Be (Super Deluxe),8,0.661,0.53,0.399,0.376,33,0
Get Back - Take 19,Let It Be (Super Deluxe),9,0.439,0.74,0.619,0.633,33,0
Like Making An Album? - Speech,Let It Be (Super Deluxe),10,0.789,0.62,0.18,0.641,31,0
One After 909 - Take 3,Let It Be (Super Deluxe),11,0.0451,0.293,0.891,0.706,32,0
Don’t Let Me Down - First Rooftop Performance,Let It Be (Super Deluxe),12,0.699,0.455,0.502,0.674,53,0
The Long And Winding Road - Take 19,Let It Be (Super Deluxe),13,0.868,0.516,0.319,0.237,33,0
Wake Up Little Susie / I Me Mine - Take 11,Let It Be (Super Deluxe),14,0.401,0.409,0.508,0.376,32,0
On The Day Shift Now / All Things Must Pass - Rehearsals / Mono,Let It Be (Super Deluxe),1,0.863,0.492,0.453,0.428,31,0
Concentrate On The Sound - Mono,Let It Be (Super Deluxe),2,0.977,0.543,0.451,0.467,30,0
Gimme Some Truth - Rehearsal / Mono,Let It Be (Super Deluxe),3,0.834,0.616,0.319,0.35,31,0
I Me Mine - Rehearsal / Mono,Let It Be (Super Deluxe),4,0.797,0.34,0.536,0.673,32,0
She Came In Through The Bathroom Window - Rehearsal,Let It Be (Super Deluxe),5,0.713,0.531,0.29,0.336,32,0
Polythene Pam - Rehearsal / Mono,Let It Be (Super Deluxe),6,0.916,0.568,0.57,0.783,30,0
Octopus’s Garden - Rehearsal / Mono,Let It Be (Super Deluxe),7,0.919,0.406,0.345,0.411,31,0
Oh! Darling - Jam,Let It Be (Super Deluxe),8,0.448,0.603,0.471,0.31,32,0
Get Back - Take 8,Let It Be (Super Deluxe),9,0.369,0.737,0.672,0.367,37,0
The Walk - Jam,Let It Be (Super Deluxe),10,0.568,0.75,0.67,0.662,29,0
Without A Song - Jam,Let It Be (Super Deluxe),11,0.875,0.574,0.396,0.428,33,0
Something - Rehearsal / Mono,Let It Be (Super Deluxe),12,0.893,0.529,0.346,0.288,30,0
Let It Be - Take 28,Let It Be (Super Deluxe),13,0.433,0.419,0.448,0.339,31,0
One After 909 - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),1,0.00752,0.494,0.872,0.889,29,0
Medley: I’m Ready (aka Rocker) / Save The Last Dance For Me / Don’t Let Me Down - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2,0.75,0.53,0.44,0.818,30,0
Don't Let Me Down - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),3,0.723,0.469,0.342,0.515,33,0
Dig A Pony - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),4,0.73,0.481,0.314,0.416,29,0
I've Got A Feeling - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),5,0.708,0.502,0.543,0.635,30,0
Get Back - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),6,0.577,0.711,0.528,0.296,30,0
